,kappa_values,etaplus_values
271,4,0.05555555555555555
272,8,0.016666666666666666
273,5,0.022222222222222223
274,4,0.016666666666666666
275,1,0.06666666666666667
276,3,0.011111111111111112
277,7,0.005555555555555556
278,1,0.005555555555555556
279,1,0.011111111111111112
280,1,0.011111111111111112
281,6,0.027777777777777776
282,1,0.005555555555555556
283,7,0.016666666666666666
284,6,0.005555555555555556
285,3,0.027777777777777776
286,13,0.022222222222222223
287,2,0.005555555555555556
288,12,0.07222222222222222
289,6,0.011111111111111112
290,6,0.10555555555555556
291,1,0.005555555555555556
292,2,0.044444444444444446
293,2,0.011111111111111112
294,6,0.011111111111111112
295,6,0.011111111111111112
296,6,0.005555555555555556
297,6,0.016666666666666666
298,5,0.005555555555555556
299,1,0.016666666666666666
300,5,0.022222222222222223
301,7,0.022222222222222223
302,6,0.03888888888888889
303,1,0.005555555555555556
304,8,0.016666666666666666
305,1,0.005555555555555556
306,1,0.016666666666666666
307,10,0.005555555555555556
308,17,0.03333333333333333
309,2,0.07777777777777778
310,1,0.011111111111111112
311,6,0.027777777777777776
312,8,0.03333333333333333
313,2,0.011111111111111112
314,3,0.011111111111111112
315,8,0.016666666666666666
316,8,0.08333333333333333
317,5,0.005555555555555556
318,1,0.011111111111111112
319,4,0.005555555555555556
320,14,0.10555555555555556
321,4,0.011111111111111112
322,3,0.016666666666666666
323,6,0.005555555555555556
324,8,0.027777777777777776
325,5,0.03333333333333333
326,6,0.011111111111111112
327,1,0.022222222222222223
328,6,0.044444444444444446
329,5,0.005555555555555556
330,7,0.022222222222222223
331,1,0.005555555555555556
332,6,0.022222222222222223
333,2,0.03888888888888889
334,8,0.1
335,1,0.027777777777777776
336,2,0.016666666666666666
337,2,0.011111111111111112
338,6,0.005555555555555556
339,11,0.19444444444444445
340,8,0.03333333333333333
341,5,0.016666666666666666
342,1,0.011111111111111112
343,4,0.027777777777777776
344,6,0.03333333333333333
345,8,0.005555555555555556
346,1,0.03333333333333333
347,4,0.011111111111111112
348,2,0.022222222222222223
349,5,0.005555555555555556
350,6,0.016666666666666666
351,4,0.011111111111111112
352,1,0.005555555555555556
353,1,0.011111111111111112
354,1,0.005555555555555556
355,2,0.011111111111111112
356,1,0.016666666666666666
357,4,0.005555555555555556
358,4,0.09444444444444444
359,2,0.005555555555555556
360,13,0.027777777777777776
361,8,0.011111111111111112
362,3,0.03333333333333333
363,1,0.005555555555555556
364,1,0.027777777777777776
365,8,0.16666666666666666
366,4,0.011111111111111112
367,10,0.1
368,4,0.022222222222222223
369,3,0.016666666666666666
370,1,0.044444444444444446
371,9,0.06666666666666667
372,7,0.08888888888888889
373,1,0.14444444444444443
374,2,0.005555555555555556
375,7,0.03333333333333333
376,1,0.05
377,7,0.016666666666666666
378,5,0.011111111111111112
379,5,0.03888888888888889
380,6,0.03333333333333333
381,18,0.09444444444444444
382,2,0.011111111111111112
383,12,0.03333333333333333
384,1,0.016666666666666666
385,5,0.022222222222222223
386,1,0.03333333333333333
387,3,0.005555555555555556
388,5,0.022222222222222223
389,8,0.09444444444444444
390,2,0.1111111111111111
391,1,0.005555555555555556
392,6,0.2111111111111111
393,1,0.011111111111111112
394,3,0.011111111111111112
395,7,0.005555555555555556
396,8,0.2
397,1,0.06111111111111111
398,1,0.03888888888888889
399,15,0.08888888888888889
400,4,0.06666666666666667
401,2,0.06111111111111111
402,1,0.005555555555555556
403,3,0.011111111111111112
404,5,0.027777777777777776
405,9,0.011111111111111112
406,11,0.05555555555555555
407,3,0.03888888888888889
408,2,0.027777777777777776
409,2,0.016666666666666666
410,4,0.18333333333333332
411,1,0.011111111111111112
412,4,0.044444444444444446
413,7,0.03333333333333333
414,3,0.005555555555555556
415,6,0.14444444444444443
416,5,0.08888888888888889
417,1,0.005555555555555556
418,5,0.03888888888888889
419,1,0.005555555555555556
420,13,0.027777777777777776
421,5,0.022222222222222223
422,1,0.005555555555555556
423,11,0.011111111111111112
424,3,0.10555555555555556
425,2,0.022222222222222223
426,5,0.03888888888888889
427,5,0.005555555555555556
428,2,0.011111111111111112
429,3,0.005555555555555556
430,5,0.005555555555555556
431,2,0.005555555555555556
432,8,0.19444444444444445
433,7,0.027777777777777776
434,14,0.18888888888888888
435,4,0.06666666666666667
436,8,0.05
437,5,0.016666666666666666
438,3,0.06111111111111111
439,8,0.03888888888888889
440,6,0.016666666666666666
441,1,0.027777777777777776
442,5,0.022222222222222223
443,1,0.06666666666666667
444,10,0.016666666666666666
445,3,0.005555555555555556
446,6,0.005555555555555556
447,2,0.005555555555555556
448,2,0.005555555555555556
449,2,0.022222222222222223
450,15,0.16666666666666666
451,2,0.005555555555555556
452,1,0.011111111111111112
453,2,0.12777777777777777
454,4,0.016666666666666666
455,4,0.022222222222222223
456,1,0.005555555555555556
457,6,0.005555555555555556
458,10,0.15555555555555556
459,1,0.011111111111111112
460,1,0.022222222222222223
461,5,0.016666666666666666
462,8,0.05
463,12,0.09444444444444444
464,1,0.044444444444444446
465,4,0.005555555555555556
466,1,0.016666666666666666
467,16,0.03888888888888889
468,5,0.05
469,3,0.005555555555555556
470,15,0.06666666666666667
471,8,0.044444444444444446
472,2,0.08333333333333333
473,1,0.016666666666666666
474,6,0.17777777777777778
475,1,0.005555555555555556
476,7,0.03333333333333333
477,5,0.022222222222222223
478,7,0.022222222222222223
479,3,0.03888888888888889
480,1,0.06666666666666667
481,3,0.03888888888888889
482,1,0.06111111111111111
483,5,0.05555555555555555
484,3,0.03333333333333333
485,10,0.1
486,5,0.03888888888888889
487,1,0.027777777777777776
488,4,0.03888888888888889
489,18,0.09444444444444444
490,11,0.027777777777777776
491,3,0.1
492,3,0.022222222222222223
493,5,0.011111111111111112
494,4,0.016666666666666666
495,10,0.03888888888888889
496,1,0.05555555555555555
497,4,0.005555555555555556
498,5,0.016666666666666666
499,7,0.03333333333333333
500,1,0.011111111111111112
501,2,0.005555555555555556
502,2,0.011111111111111112
503,1,0.005555555555555556
504,13,0.022222222222222223
